Kūh-e Balūrān	Kuh-e Sar Hul	True	8229837	8229837	LATIN	LATIN	IR	IR
Shomalak	Shomali Zanki	False	1125678	1125679	LATIN	LATIN	AF	AF
پا قلعه	Pa'in Qal`eh	True	121490	121490	ARABIC	LATIN	IR	IR
Gora Gavkush	blnd qash	False	1456995	1456996	LATIN	LATIN	AF	AF
Kalāteh-ye Tūyeh	Kalateh-ye Tuyeh	True	7848463	7848463	LATIN	LATIN	IR	IR
nan guan dang	shuang fu yang	False	1904511	1904512	LATIN	LATIN	CN	CN
Hasankoy	Aliköy	True	745797	745797	LATIN	LATIN	TR	TR
Munhakgyeonggijang	Seonhagyeok	False	11230013	11230014	LATIN	LATIN	KR	KR
xu jia men	徐家门	True	7734527	7734527	LATIN	CJK	CN	CN
chou shui dong	xiao pu chai he	False	7578201	7578202	LATIN	LATIN	CN	CN
下板桥	xia ban qiao	True	10145032	10145032	CJK	LATIN	CN	CN
wady aldʿb	‘Uyūn adh Dhi’b	False	249666	249667	LATIN	LATIN	JO	JO
Ch'ing-yeh Ch'iao	Ch’ing-yeh Ch’iao	True	1678049	1678049	LATIN	LATIN	TW	TW
Rong Rian Arun Withaya	rong phyabal x nanth mhidl	False	1595225	1595226	LATIN	LATIN	TH	TH
Angles-sur-l'Anglin	Англь-сюр-л'Англен	True	3037613	3037613	LATIN	CYRILLIC	FR	FR
源左衛門新田	Sashima	False	11035697	11035698	CJK	LATIN	JP	JP
Konārū	کنارو	True	7058344	7058344	LATIN	ARABIC	IR	IR
燕埚里	fen shui ao	False	7744824	7744825	CJK	LATIN	CN	CN
おおわだ	Ōwada	True	8539626	8539626	CJK	LATIN	JP	JP
Morona-Santiago	Canton Morona	False	3654005	3654006	LATIN	LATIN	EC	EC
Tabei	ta bei	True	8444917	8444917	LATIN	LATIN	CN	CN
Farewell Point	Elsehul	False	3426491	3426498	LATIN	LATIN	GS	GS
かすみがおか	カスミガオカ	True	11081647	11081647	CJK	CJK	JP	JP
Новолузино	Новолузано	False	1496972	1496973	CYRILLIC	CYRILLIC	RU	RU
梅李山	Meilishan	True	6842417	6842417	CJK	LATIN	CN	CN
ヒラ根	カド根	False	9644829	9644830	CJK	CJK	JP	JP
کوه نفيس آباد	Kūh-e Nafīsābād	True	8661109	8661109	ARABIC	LATIN	IR	IR
gdar kmbw	مرغاب	False	7542035	7542036	LATIN	ARABIC	IR	IR
Purisima de Temascatio	Purisima de Arriba	True	4024295	4024295	LATIN	LATIN	MX	MX
Batey El Pinon	El Patron	False	3560207	3560223	LATIN	LATIN	CU	CU
ding zhang ying	Dingzhangying	True	7051692	7051692	LATIN	LATIN	CN	CN
Ozero Maloye Zakhar’yevo	Zakhar’yevo	False	8072600	8072601	LATIN	LATIN	RU	RU
Abū ‘Arīn	أبو عرين	True	11207197	11207197	LATIN	ARABIC	QA	QA
Banī Jamrah	Port lotniczy Bahrajn	False	290287	290288	LATIN	LATIN	BH	BH
Huai Noi	ห้วยน้อย	True	10205816	10205816	LATIN	THAI	TH	TH
Muzan Zhen	Huangcaoba	False	8696229	8696230	LATIN	LATIN	CN	CN
บ้านหนองกาทอง	ban hnxng ka thxng	True	1155851	1155851	THAI	LATIN	TH	TH
kang tuo ka yi ku mu	科克肉玛	False	9078007	9078008	LATIN	CJK	CN	CN
Al Asla`	Mahall Darwish Ahmad	True	7365487	7365487	LATIN	LATIN	YE	YE
Tall-e Boland	Kalūk	False	6987083	6987084	LATIN	LATIN	IR	IR
Lyrskjeret	Lyrskjaeret	True	9714196	9714196	LATIN	LATIN	NO	NO
夏家屯	nan ji	False	7396554	7396555	CJK	LATIN	CN	CN
گَردِنَك	Gardanga	True	134064	134064	ARABIC	LATIN	IR	IR
Hanqiugou	xi gou	False	10404467	10404468	LATIN	LATIN	CN	CN
rongreiyn ban sa neiyn	Rongrian Ban Sanian	True	8231141	8231141	LATIN	LATIN	TH	TH
چشمه بدشیرو	مزرعه جعفر آباد	False	10410824	10410825	ARABIC	ARABIC	IR	IR
カルヴァリア・ゼブジトフスカ	ka er wa li ya-ze bu ri duo fu si ka	True	3096852	3096852	CJK	LATIN	PL	PL
Huajiangou	wang jia po	False	8510041	8510042	LATIN	LATIN	CN	CN
Nab‘ al Murayghah	nbʿ almryght	True	247875	247875	LATIN	LATIN	JO	JO
Sopka Severnaya	Sopka Pjatnis-Seda	False	870935	870936	LATIN	LATIN	RU	RU
วัดสองคอนดอนสวรรค์	Wat Song Khon Don Sawan	True	9003386	9003386	THAI	LATIN	TH	TH
L’Étang-la-Ville	Sommet Taillefer	False	2999281	2999295	LATIN	LATIN	FR	FR
Bilémésé	Messe	True	2234119	2234119	LATIN	LATIN	CM	CM
Čevnomovci	Sveti Nicola	False	732518	732519	LATIN	LATIN	BG	BG
Lāngaljura	Langaljura	True	1196175	1196175	LATIN	LATIN	BD	BD
芭蕉林	Hongqi	False	10006205	10006206	CJK	LATIN	CN	CN
Beylerköyü	Beylerkoyu	True	750657	750657	LATIN	LATIN	TR	TR
wen li	徐家沟	False	10163428	10163429	LATIN	CJK	CN	CN
zaghy	Zaghay	True	1436887	1436887	LATIN	LATIN	AF	AF
Perekat Gianskij	Perekat Troitskiy	False	6900981	6900982	LATIN	LATIN	RU	RU
Eslāmābād	اسلام آباد	True	15031	15031	LATIN	ARABIC	IR	IR
Rétitanyák	Retitanya	False	716095	716097	LATIN	LATIN	HU	HU
Rongrian Ban Hua Sai Khuan	rongreiyn ban hawthir khwn	True	7887679	7887679	LATIN	LATIN	TH	TH
ウチグワ	ヨコテ	False	11192335	11192336	CJK	CJK	JP	JP
shui shen da qiao	Suijin Ohashi	True	10921006	10921006	LATIN	LATIN	JP	JP
Aylāq-e Tāgāb Baṟsaṟ	Darrah-i-Cāṟ Sū	False	1468395	1468396	LATIN	LATIN	AF	AF
Krestovaja	Krestovaya	True	2021540	2021540	LATIN	LATIN	RU	RU
Juna Khān Unar	Faqu Kalāchi	False	1401195	1401196	LATIN	LATIN	PK	PK
Djeddeïne	Djeddeine	True	169097	169097	LATIN	LATIN	SY	SY
Frænkel Halvo	Fossil Mountain	False	3423785	3423789	LATIN	LATIN	GL	GL
Kaôh Chap	Kas Chap	True	1831721	1831721	LATIN	LATIN	KH	KH
کوه گوش هاجر	Garāb	False	7334038	7334039	ARABIC	LATIN	IR	IR
Funduq al Andalus	Al Andalus Guest Hotel	True	8075561	8075561	LATIN	LATIN	PS	PS
Lapteva	Vorob'yevka	False	1542658	1542659	LATIN	LATIN	RU	RU
H̱orbat ‘Ammudim	Horbat Ammudim	True	8183869	8183869	LATIN	LATIN	IL	IL
Rudkhaneh-ye Gelal Sar Bisheh-ye Kohneg	Ziaratgah-e Pir Maqsud	False	6660572	6660573	LATIN	LATIN	IR	IR
wu jia ling	Wujialing	True	7066099	7066099	LATIN	LATIN	CN	CN
گرمابک	Garmabak	False	1141795	1141796	ARABIC	LATIN	AF	AF
Bozköy	Bozkoy	True	320615	320615	LATIN	LATIN	TR	TR
Tall Kāz̧im	Arāḑī ar Raḩmāyah	False	7011720	7011721	LATIN	LATIN	IQ	IQ
art khwajh	Ārt Khwājah	True	1465311	1465311	LATIN	LATIN	AF	AF
qie hu xi er wa nie yi	Csehètfalva	False	682442	682443	LATIN	LATIN	RO	RO
Yeniköy	Yenikoy	True	297013	297013	LATIN	LATIN	TR	TR
Xiaokeliao	Siaokengzih	False	1675614	1675615	LATIN	LATIN	TW	TW
罗家坝	Luojiaba	True	6912569	6912569	CJK	LATIN	CN	CN
น้ำแหด	Huai Haen Luang	False	1596840	1596841	THAI	LATIN	TH	TH
Pohyon-sa	bohyeonsa	True	2054696	2054696	LATIN	LATIN	KP	KP
Galaxídhion	Galatzóna	False	262133	262134	LATIN	LATIN	GR	GR
Phumĭ Réav	Phumi Riev	True	1825459	1825459	LATIN	LATIN	KH	KH
Lang Ché	Thi Tran Dinh Ca	False	1583390	1583393	LATIN	LATIN	VN	VN
Sergievka	Sergijevka	True	496626	496626	LATIN	LATIN	RU	RU
Ланценкирхен	Lannakh	False	2772942	2772961	CYRILLIC	LATIN	AT	AT
Boboviki	Бабовики	True	630074	630074	LATIN	CYRILLIC	BY	BY
yu jing xiang	san hui zhen	False	9631793	9631794	LATIN	LATIN	CN	CN
Mazra`eh-ye Jannatabad	مزرعه جنت آباد	True	10413034	10413034	LATIN	ARABIC	IR	IR
Rio Lualuta Uandendé	Luate	False	3347771	3347775	LATIN	LATIN	AO	AO
Shoton	Shiodo	True	1851706	1851706	LATIN	LATIN	JP	JP
Balka Bol’shoy Barak	NikIin-KhitIa	False	796469	796470	LATIN	LATIN	RU	RU
Sandback	Norra Sandbäcksgrunden	True	637815	637815	LATIN	LATIN	AX	AX
เขาเตนตวง	Tangyi Taung	False	1294484	1294541	THAI	LATIN	MM	MM
Masjid `Atiyah	مسجد عطية	True	7475258	7475258	LATIN	ARABIC	YE	YE
Gora Zamburkhan	Korawe Mansur	False	6252146	6252147	LATIN	LATIN	AF	AF
Бычковы	Bychkovy	True	570379	570379	CYRILLIC	LATIN	RU	RU
Katah Koh	Kaţah Khēl	False	1137704	1137705	LATIN	LATIN	AF	AF
詹家桥	zhan jia qiao	True	7661728	7661728	CJK	LATIN	CN	CN
Qal‘a Afanḏi	‘Alī Gul	False	1473248	1473249	LATIN	LATIN	AF	AF
尾平野	Obirano	True	1854810	1854810	CJK	LATIN	JP	JP
Canon La Virgen	Rancho El Violín	False	3514647	3514649	LATIN	LATIN	MX	MX
サンノウ	shan wang	True	11106626	11106626	CJK	LATIN	JP	JP
tazih kandi baba ganjih	Tazeh Kand-e Afshar	False	18507	18508	LATIN	LATIN	IR	IR
Ban Rat Phatthana	ban rasʹdrphatʹhna	True	9283749	9283749	LATIN	LATIN	TH	TH
Meiziliao	Mei-tzu-liao	False	1671999	1672000	LATIN	LATIN	TW	TW
Urochishche Strel'bishche	Urochishhe Strel'bishe	True	8253617	8253617	LATIN	LATIN	RU	RU
Wadi el-Nuqra	Nuqbas	False	350932	350933	LATIN	LATIN	EG	EG
Kohe Cahāṟmaghz	Kōh-e Chahār Maghz	True	1471397	1471397	LATIN	LATIN	AF	AF
Пески Карагайлы	Летник Айбутали	False	10847147	10847149	CYRILLIC	CYRILLIC	KZ	KZ
水坑里	shui keng li	True	10327753	10327753	CJK	LATIN	CN	CN
Budalyk	Bura-Chato	False	1528621	1528626	LATIN	LATIN	KG	KG
Bālā Golemā	Golmā-ye Bālā	True	11742	11742	LATIN	LATIN	IR	IR
gwilaglodongjagu	Kwirak-tong	False	2043017	2043018	LATIN	LATIN	KP	KP
Kotamadya Pasuruan	Pasoeroean	True	1632031	1632031	LATIN	LATIN	ID	ID
Rychkovo	Rytsjkovka	False	1493322	1493324	LATIN	LATIN	RU	RU
guo jia ya	Guojiaya	True	8510121	8510121	LATIN	LATIN	CN	CN
Nalyuchi	Gora Nalvayvish'	False	523505	523506	LATIN	LATIN	RU	RU
Zhouxu	Zhouxu Xiang	True	8639125	8639125	LATIN	LATIN	CN	CN
Tol-e Semengi	Taqiabad	False	48807	48811	LATIN	LATIN	IR	IR
Tiqqi (CR)	Tiqqi (Commune Rurale)	True	6545759	6545759	LATIN	LATIN	MA	MA
gu liu	Gumaokou	False	9933777	9933778	LATIN	LATIN	CN	CN
Bayt Abu Hadi	Bayt Abū Hādī	True	9975748	9975748	LATIN	LATIN	YE	YE
Rio Curuca	Ponta do Capim Azul	False	3401330	3401344	LATIN	LATIN	BR	BR
Vinnesvagen,vestre	Vestre Vinnesvagen	True	9609236	9609236	LATIN	LATIN	NO	NO
龙祠村	老湾村	False	10416856	10416857	CJK	CJK	CN	CN
Sahra' Awbari	Edeien	True	2485742	2485742	LATIN	LATIN	DZ	DZ
Anfijld	ਮਾਕਰੋਨ ਸਟੇਡੀਅਮ	False	6288575	6288577	LATIN	GURMUKHI	GB	GB
Pridnestrovskoye	Targul Vertiujeni	True	617554	617554	LATIN	LATIN	MD	MD
wu ji tou	Dafeng’ao	False	11179084	11179085	LATIN	LATIN	CN	CN
Ban Lan Krabu	บ้านลานกระบือ	True	1119276	1119276	LATIN	THAI	TH	TH
zhang xia cun	feng xi	False	11048056	11048057	LATIN	LATIN	CN	CN
zhang gu ye yi	nagataninoeki	True	7558625	7558625	LATIN	LATIN	JP	JP
بوم	Bum	False	1146166	1146167	ARABIC	LATIN	AF	AF
Chichihualtepec	San José Chichihualtepec	True	3801166	3801166	LATIN	LATIN	MX	MX
Zhangdi	Yandou	False	8574853	8574854	LATIN	LATIN	CN	CN
Umria	Jhukar	True	10479703	10479703	LATIN	LATIN	IN	IN
Dumbai	Dumankumawodua	False	2301424	2301427	LATIN	LATIN	GH	GH
Ouadi el Meis	Ouâdi el Meïs	True	270771	270771	LATIN	LATIN	LB	LB
โรงเรียนบ้านวังหินซอง	Rongrian Ban Wang Chae Kloi	False	8565943	8565944	THAI	LATIN	TH	TH
Abalakli	Abalaklı	True	437894	437894	LATIN	LATIN	TR	TR
Unbongsan	개좌산	False	1978957	1978959	LATIN	CJK	KR	KR
Qingliwang	青里王	True	7883682	7883682	LATIN	CJK	CN	CN
บ้านเลิงสีดา	บ้านป่าหญ้าคา	False	8320928	8320929	THAI	THAI	TH	TH
Ziblingen	Siblingen	True	2658609	2658609	LATIN	LATIN	CH	CH
Korongoy-Beri	Kolomba	False	2454642	2454651	LATIN	LATIN	ML	ML
Kūh-e ‘Alī Bakhshī	Kuh-e `Ali Bakhshi	True	7414698	7414698	LATIN	LATIN	IR	IR
Khalifeh Hesar-e Milan	Khalifeh Bolaghi	False	128048	128049	LATIN	LATIN	IR	IR
Cheranio	K’eranyo	True	333314	333314	LATIN	LATIN	ET	ET
hou ling	xin she bei	False	8235510	8235511	LATIN	LATIN	CN	CN
Gebel en-Nuss	Jabal an Nusf	True	2214313	2214313	LATIN	LATIN	LY	LY
Kohyŏl-li	gohyeon	False	1875843	1875844	LATIN	LATIN	KP	KP
Kūh-e Chāl Sorkh	kwh chal srkh	True	10349536	10349536	LATIN	LATIN	IR	IR
Ko'hnaqazgan Quduq	Kul’-Tusun	False	1513396	1513407	LATIN	LATIN	UZ	UZ
Dögnük	Dognuk	True	316215	316215	LATIN	LATIN	TR	TR
Erdene Sum	Erdenebueren Sum	False	6619099	6619109	LATIN	LATIN	MN	MN
Zengjiachong	曾家冲	True	10420839	10420839	LATIN	CJK	CN	CN
El Granero	Cerro Mamijaqui	False	3970414	3970451	LATIN	LATIN	MX	MX
Zaṟṯāle’ Mānḏeh	Zartale` Mandeh	True	1444215	1444215	LATIN	LATIN	AF	AF
Sand Islet	Wichukuna	False	2081225	2081227	LATIN	LATIN	FM	FM
Wallenbergfjellet	Mount Wallenberg	True	2727862	2727862	LATIN	LATIN	SJ	SJ
Moulentâr	Mouïzenaïa	False	2453285	2453288	LATIN	LATIN	ML	ML
Fil's	flz	True	7873699	7873699	LATIN	LATIN	AT	AT
السويس	Hibshah	False	7753576	7753577	ARABIC	LATIN	YE	YE
bijobong	Baja-bong	True	1948397	1948397	LATIN	LATIN	KR	KR
Найман-Бұқарбай	Kolodets Mullakenzhe	False	1537091	1537093	CYRILLIC	LATIN	KZ	KZ
Gardanah-ye Khūnjī	Khonji Kowtal	True	1136398	1136398	LATIN	LATIN	AF	AF
Rudnya-Viktorinskaya	Rudnya-Valavskaya	False	622544	622545	LATIN	LATIN	BY	BY
tian shan	Tianshan	True	8573851	8573851	LATIN	LATIN	CN	CN
Nes	Neslon	False	2628026	2628036	LATIN	LATIN	IS	IS
bsatyn syd rbat	Basatin Sayyid Rabbat	True	6787916	6787916	LATIN	LATIN	IQ	IQ
Hacienda San Ramon	Canton San Rafael	False	3583375	3583377	LATIN	LATIN	SV	SV
정릉터널	jeongleungteoneol	True	8429488	8429488	CJK	LATIN	KR	KR
Dabro	Būli	False	7497801	7497802	LATIN	LATIN	PK	PK
Xerovoúni	Cheróvouno	True	260005	260005	LATIN	LATIN	GR	GR
Kārkhāneh-ye Oksīzhen-e Golestān	Kārkhāneh-ye Patū-ye Golbāft	False	11146011	11146012	LATIN	LATIN	IR	IR
Jataí	Jatai	True	3460064	3460064	LATIN	LATIN	BR	BR
Rabon	El Quequexquillo	False	3596384	3596394	LATIN	LATIN	GT	GT
Björkedalsvand	Birkedals Vatn	True	3161350	3161350	LATIN	LATIN	NO	NO
شعب الأدبر	مسقى آل صالح	False	7341226	7341228	ARABIC	ARABIC	YE	YE
jiu tian	Hisada	True	8529553	8529553	LATIN	LATIN	JP	JP
Murgi 2-je	Murgazejevo	False	524316	524317	LATIN	LATIN	RU	RU
rongreiyn phon ngam withyakhar	Rongrian Phon Ngam Witthayakhan	True	8671867	8671867	LATIN	LATIN	TH	TH
Khrebet Mykhtokyan	Qala Stansiyası	False	800657	800659	LATIN	LATIN	AZ	AZ
Киёвец	Kiyëvets	True	627250	627250	CYRILLIC	LATIN	BY	BY
Tejon Pass	テメキュラ	False	5401336	5401395	LATIN	CJK	US	US
Emmenbrücke Gersag, Bahnhof	Emmenbruecke Gersag  Bahnhof	True	10392485	10392485	LATIN	LATIN	CH	CH
Sovetskiy	Sovetskij	False	1491235	1491236	LATIN	LATIN	RU	RU
Kelāgar Maḩalleh	كِلاگَر مَحَلِه	True	11542	11542	LATIN	ARABIC	IR	IR
Vatonda	Nea Sampsounta	False	256581	256582	LATIN	LATIN	GR	GR
wad thxngnphkhun	วัดทองนพคุณ	True	8676751	8676751	LATIN	THAI	TH	TH
Samra	Wadi Samna	False	247005	247006	LATIN	LATIN	JO	JO
jian de qiao	Chien-te Ch'iao	True	6579963	6579963	LATIN	LATIN	TW	TW
Chenār	kwh bn gr	False	404189	404230	LATIN	LATIN	IR	IR
Morghdari-ye Abu ol Qasem Ashtari	مرغداری ابوالقاسم اشبری	True	8439999	8439999	LATIN	ARABIC	IR	IR
Hsia-ta-lin	da li zhen	False	1814054	1814056	LATIN	LATIN	CN	CN
Ørjedalsfjellet	Aarhtsije	True	9140860	9140860	LATIN	LATIN	NO	NO
Biţāḩ al Farāsh	سيفين	False	11129573	11129574	LATIN	ARABIC	JO	JO
Bol’shoy Vashkur	Большой Вашкор	True	572791	572791	LATIN	CYRILLIC	RU	RU
Beniliper Island	Baraiasi	False	2082312	2082314	LATIN	LATIN	FM	FM
yuan zhuang zi	Yuanzhuangzi	True	10647712	10647712	LATIN	LATIN	CN	CN
Pora-ri	Polan	False	1838759	1838760	LATIN	LATIN	KR	KR
Tebenyak	Tebenjak	True	7605235	7605235	LATIN	LATIN	RU	RU
Priozernyy	Ozero Krivil’dy	False	1541184	1541185	LATIN	LATIN	RU	RU
sthani xnamay tabl rang phikul	Sathani Anamai Tambon Rang Phikun	True	8138370	8138370	LATIN	LATIN	TH	TH
Fiordo Bután	Cerro Butahuau	False	3897664	3897668	LATIN	LATIN	CL	CL
Doab	Ab-e Do Ab	True	136079	136079	LATIN	LATIN	IR	IR
Darmāngāh-e Valī	Shahr Qā‘em	False	8375086	8375087	LATIN	LATIN	IR	IR
Sathani Anamai Nong Pru	สถานีอนามัยหนองปรู	True	9108615	9108615	LATIN	THAI	TH	TH
wad ban yang cxng	Wat Phai Si Thong	False	8680447	8680448	LATIN	LATIN	TH	TH
Jhāg Kas	Jhār Kas	True	1415137	1415137	LATIN	LATIN	PK	PK
Laröd	Larkimpakte	False	2696942	2696943	LATIN	LATIN	SE	SE
Jingmei Guojhong	Ching-mei Kuo-chung	True	6643516	6643516	LATIN	LATIN	TW	TW
Shangtun	Xiangshi	False	10407199	10407200	LATIN	LATIN	CN	CN
สถานีอนามัยบ้านโป่งปูเฟือง	Sathani Anamai Ban Pong Fu Fueang	True	7421057	7421057	THAI	LATIN	TH	TH
Wādī ash Shammūm	Dahr Shammu	False	267685	267686	LATIN	LATIN	LB	LB
zi shen yuan	资深园	True	7015940	7015940	LATIN	CJK	CN	CN
Jar-e Rubāţak	jr rbatk	False	1128323	1128324	LATIN	LATIN	AF	AF
jr zrd	Jar-e Zard	True	1470821	1470821	LATIN	LATIN	AF	AF
天井湾	Naizijian	False	10412295	10412296	CJK	LATIN	CN	CN
Luojiaying	罗家营	True	10197103	10197103	LATIN	CJK	CN	CN
Yangjich’on	Yangch'on	False	1832943	1832944	LATIN	LATIN	KR	KR
Лягичино	Ljagichino	True	7079419	7079419	CYRILLIC	LATIN	RU	RU
Maykomgen	Maulimberli Qystau	False	608849	608852	LATIN	LATIN	KZ	KZ
Sūlaiman Mahāno	Allāh Dino Mohāna	True	1108040	1108040	LATIN	LATIN	PK	PK
zhao jia yu	xiu ge zhuang	False	9937424	9937425	LATIN	LATIN	CN	CN
高力板	K'o-erh-ch'in-yu-i-chung-ch'i	True	2037242	2037242	CJK	LATIN	CN	CN
Ḩoseynābād	Heydarabad	False	44881	44882	LATIN	LATIN	IR	IR
Chāh-e Shōr	چاه شور	True	1124864	1124864	LATIN	ARABIC	AF	AF
"Dem""yanivka"	Dem'yanovka	False	710155	710156	LATIN	LATIN	UA	UA
โรงเรียนวัดอินทราพิบูลย์	Rongrian Wat Inthra Phibun	True	7790272	7790272	THAI	LATIN	TH	TH
Tyrey	Pad' Zinkovskaja	False	7904682	7904683	LATIN	LATIN	RU	RU
Jhongcingcyue	Chung-ching-chueh	True	1677467	1677467	LATIN	LATIN	TW	TW
fu qiao cun	Huanshancun	False	10414112	10414113	LATIN	LATIN	CN	CN
Tangwānīwāla	Tangiwala	True	1391882	1391882	LATIN	LATIN	PK	PK
kwh ylaq	Yekshaveh	False	111777	111779	LATIN	LATIN	IR	IR
Akra Nisaki	Ákra Nisáki	True	256391	256391	LATIN	LATIN	GR	GR
bonlidong	고산3동	False	8692209	8692210	LATIN	CJK	KR	KR
ban kud nang thxhuk	บ้านกุดนางทอหูก	True	1617274	1617274	LATIN	THAI	TH	TH
Xom 3	Xom Chin	False	10200954	10200956	LATIN	LATIN	VN	VN
Шатійон-сюр-Лізон	Chatillon-sur-Lison	True	6616205	6616205	CYRILLIC	LATIN	FR	FR
Xinjian Xiang	大众乡	False	8512519	8512520	LATIN	CJK	CN	CN
shi qiao deng	石桥邓	True	7741091	7741091	LATIN	CJK	CN	CN
`Ayn ash Sharqi	shrqanly	False	164421	164422	LATIN	LATIN	SY	SY
sha da tong	Shadatong	True	10222084	10222084	LATIN	LATIN	CN	CN
Tomitomari Zaki	Tomari-saki	False	2120524	2120527	LATIN	LATIN	JP	JP
黄花村	huang hua cun	True	10907552	10907552	CJK	LATIN	CN	CN
Blłóta	shi pu lun ha gen	False	2830098	2830100	LATIN	LATIN	DE	DE
Sukapo	Sugup'o	True	2040352	2040352	LATIN	LATIN	KP	KP
Yŏnghyang-ni	Yonfaa Retto	False	1832216	1832217	LATIN	LATIN	KR	KR
Ouâdi el Miess	wady almas	True	162707	162707	LATIN	LATIN	SY	SY
da ga	Liesuoka	False	10263556	10263557	LATIN	LATIN	CN	CN
ka ni a ke di ke si	Kan'jak-dju-Koss	True	6449222	6449222	LATIN	LATIN	FR	FR
Vuolit Dapmotjavri	Njullosvagajavri	False	9042550	9042552	LATIN	LATIN	NO	NO
利林咀	Lilinzui	True	6929047	6929047	CJK	LATIN	CN	CN
Okimura	Okidate Gawa	False	2128726	2128727	LATIN	LATIN	JP	JP
Gedges  Arrecife	Gedges Rocks	True	6633720	6633720	LATIN	LATIN	AQ	AQ
Chungsan	Kurŭmŏgu	False	1888994	1888996	LATIN	LATIN	KP	KP
Rio Momboy	Rio Mombuy	True	3632108	3632108	LATIN	LATIN	VE	VE
佟家务村	dong ban bi dian cun	False	10313193	10313194	CJK	LATIN	CN	CN
Darrahe Seberghan	Darreh-ye Sheberghān	True	1470281	1470281	LATIN	LATIN	AF	AF
Slavyanka	Siyəzən	False	584953	584954	LATIN	LATIN	AZ	AZ
اسکچک	askchk	True	7491217	7491217	ARABIC	LATIN	AF	AF
江西村	nan shan	False	1992014	1992015	CJK	LATIN	CN	CN
Chicombori	Chikombore	True	894063	894063	LATIN	LATIN	ZW	ZW
long xing zhuang	song ling qu	False	8051553	8051573	LATIN	LATIN	CN	CN
naehwangje	Naehwang-je	True	6876223	6876223	LATIN	LATIN	KR	KR
Šolās Darrah	Ūjīkayl	False	1468205	1468206	LATIN	LATIN	AF	AF
xia ben shan ding	下本山町	True	9983689	9983689	LATIN	CJK	JP	JP
Μπράντον	brntfwrd  antaryw	False	5907896	5907990	GREEK	LATIN	CA	CA
Ra’s Anfah	Ra's Anfah	True	278927	278927	LATIN	LATIN	LB	LB
Durbes novads	Vainode	False	7628304	7628307	LATIN	LATIN	LV	LV
Vayakkarai	Vaiyakkarai	True	1225194	1225194	LATIN	LATIN	LK	LK
老茶庵	Houtang	False	9614589	9614590	CJK	LATIN	CN	CN
คลองหลา	Khlong La	True	1596159	1596159	THAI	LATIN	TH	TH
Aït el Aouni	Ait Laayaf	False	2560088	2560090	LATIN	LATIN	MA	MA
הר עזיהו	Jebel Abu Alaliq	True	293272	293272	HEBREW	LATIN	IL	IL
Al Shaharin	Ghadīr al ‘Ashshah	False	108277	108278	LATIN	LATIN	SA	SA
Shuangban	shuang ban	True	9900936	9900936	LATIN	LATIN	CN	CN
Caña Félix	Las Canas	False	3510464	3510467	LATIN	LATIN	DO	DO
Agia Phoka	Cape Vourkos	True	263952	263952	LATIN	LATIN	GR	GR
Al Waḩdah aş Şiḩḩīyah ‘Aynāt	whdt shyt almjashr	False	7449355	7449356	LATIN	LATIN	YE	YE
dang yi	Dangyi	True	10046288	10046288	LATIN	LATIN	CN	CN
Maricchio Bay	Margečani	False	3195502	3195510	LATIN	LATIN	HR	HR
何包落	he bao luo	True	10018845	10018845	CJK	LATIN	CN	CN
Primetnyy Kholm	Mys Primetnyy	False	2121834	2121835	LATIN	LATIN	RU	RU
rykw	Rugu	True	118491	118491	LATIN	LATIN	IR	IR
บ้านโคกสว่าง	Ban Khok Sawang	False	1617827	1617828	THAI	LATIN	TH	TH
dong gang san ze	ひがしおかみさわ	True	8395241	8395241	LATIN	CJK	JP	JP
Haji Rahim Kelay	Khadzhikutan	False	1140307	1140308	LATIN	LATIN	AF	AF
Fetigny  village	Fetigny, village	True	10398975	10398975	LATIN	LATIN	CH	CH
Малкас	Urochishche Sredneye	False	1537132	1537134	CYRILLIC	LATIN	RU	RU
Fararanga	Penrhyn	True	4031139	4031139	LATIN	LATIN	CK	CK
Bofor-an-Valle	Beaufort-en-Santerre	False	3034309	3034310	LATIN	LATIN	FR	FR
Chiu-she	jiu she	True	1677784	1677784	LATIN	LATIN	TW	TW
Frederiksgård	Frederiksbjaerg	False	2621931	2621940	LATIN	LATIN	DK	DK
Lučenský Potok	Kriváň	True	3058985	3058985	LATIN	LATIN	SK	SK
Бекельдеуль	Levyy Minzhak	False	7565722	7565723	CYRILLIC	LATIN	RU	RU
부개초등학교	bugaechodeunghaggyo	True	11233160	11233160	CJK	LATIN	KR	KR
banna luk	Ban Na Launa	False	1616341	1616342	LATIN	LATIN	TH	TH
Ch'a-lu-chieh	cha lu zhen	True	1815816	1815816	LATIN	LATIN	CN	CN
مُلك آباد	قلعه مرغ	False	404504	404505	ARABIC	ARABIC	IR	IR
xia zhuang	Xiazhuang	True	10320674	10320674	LATIN	LATIN	CN	CN
Lüguangying	挪者大寨	False	10156432	10156433	LATIN	CJK	CN	CN
yang shu gou	Yangshugou	True	9991890	9991890	LATIN	LATIN	CN	CN
da xing tun	bei an shi yan nong chang qi dui	False	8543912	8543913	LATIN	LATIN	CN	CN
Kunghang-ni	Hwalmok	True	1842089	1842089	LATIN	LATIN	KR	KR
Darreh-ye Namazgah	Ильмурадбай	False	1467658	1467659	LATIN	CYRILLIC	AF	AF
Ozero Kezenoyam	Ozero Kjozenojam	True	550894	550894	LATIN	LATIN	RU	RU
